# Planet,Qatar-10b
# N_transits,218
# N_rejected,0
# Reject_sigmas,10
# All data spans days,2189.9291400001384
# All data spans years,6.0
# Period,1.6453257456372214
# Period_err,3.5427024588107726e-07
# Ref_midtime,2458919.2004440315
# Ref_midtime_err,7.75318098452892e-05
# Ref_midtime_err_sec,6.7
# Quad_deltaP,-2.291323094613414e-09
# Quad_deltaP_err,1.987646468581671e-09
# Quad_deltaP_sigma,-1.2
# Quad_period,1.6453260347445333
# Quad_period_err,4.3383724705281747e-07
# Quad_refmid,2458919.2004908873
# Quad_refmid_err,8.74881862466597e-05
# Quad_refmid_err_sec,7.6
# Pdot_ms_year,-43.95
# Pdot_ms_year_err,38.12
# Linear BIC,450.7
# Quad BIC,453.3
# Delta BIC,-2.7
# Delta BIC if rescale errors,-4.1
# Analytical Delta BIC,-1.7
# Analytical Delta BIC if WASP-12b like,-3.9
# Median Delta BIC if omit one,-2.7
# Mean Delta BIC if omit one,-2.7
# Std Delta BIC if omit one,0.3
# Linear fit ephemeris
N_tr,Midtime,Midtime_err_days,Midtime_err_sec,O-C_days,O-C_sec,Source
-408,2458247.90746,0.00036,31.1,-7.981e-05,-6.9,2022ApJS..259...62I; 2019AJ....157..224A
-408,2458247.90885,0.00111,95.9,0.00131019,113.2,Ind_mid
-405,2458252.84458,0.00095,82.08,0.00106295,91.84,Ind_mid
-402,2458257.7781,0.0018,155.52,-0.00139428,-120.47,Ind_mid
-402,2458257.77916,0.00074,63.94,-0.00033429,-28.88,Ind_mid
-362,2458323.59234,0.00042,36.29,-0.00018411,-15.91,Ind_mid
-356,2458333.46255,0.0006,51.84,-0.00192858,-166.63,Ind_mid
-354,2458336.75533,0.00097,83.81,0.00019992,17.27,Ind_mid
-345,2458351.562,0.00075,64.8,-0.00106179,-91.74,Ind_mid
-143,2458683.91919,0.0007258,62.71,0.00032759,28.3,2022ApJS..259...62I
-142,2458685.56578,0.0009012,77.86,0.00159185,137.54,2022ApJS..259...62I
-141,2458687.20956,0.0005797,50.09,4.61e-05,3.98,2022ApJS..259...62I
-140,2458688.85408,0.0006959,60.13,-0.00075964,-65.63,2022ApJS..259...62I
-139,2458690.50024,0.0008978,77.57,7.461e-05,6.45,2022ApJS..259...62I
-138,2458692.14565,0.0011616,100.36,0.00015887,13.73,2022ApJS..259...62I
-137,2458693.79153,0.0009545,82.47,0.00071312,61.61,2022ApJS..259...62I
-136,2458695.43607,0.000984,85.02,-7.263e-05,-6.27,2022ApJS..259...62I
-134,2458698.72549,0.0010565,91.28,-0.00130412,-112.68,2022ApJS..259...62I
-133,2458700.37234,0.0005928,51.22,0.00022014,19.02,2022ApJS..259...62I
-132,2458702.0177,0.0007031,60.75,0.00025439,21.98,2022ApJS..259...62I
-131,2458703.66338,0.0006908,59.69,0.00060865,52.59,2022ApJS..259...62I
-130,2458705.30937,0.0010299,88.98,0.0012729,109.98,2022ApJS..259...62I
-129,2458706.95313,0.0008313,71.82,-0.00029284,-25.3,2022ApJS..259...62I
-128,2458708.598,0.0009473,81.85,-0.00074859,-64.68,2022ApJS..259...62I
-126,2458711.89014,0.0009343,80.72,0.00073992,63.93,2022ApJS..259...62I
-125,2458713.53591,0.0007302,63.09,0.00118417,102.31,2022ApJS..259...62I
-124,2458715.18207,0.0012325,106.49,0.00201843,174.39,2022ApJS..259...62I
-123,2458716.82601,0.0008148,70.4,0.00063268,54.66,2022ApJS..259...62I
-122,2458718.47086,0.0010025,86.62,0.00015694,13.56,2022ApJS..259...62I
-117,2458726.69725,0.001012,87.44,-8.179e-05,-7.07,2022ApJS..259...62I
-116,2458728.34341,0.0012265,105.97,0.00075246,65.01,2022ApJS..259...62I
-115,2458729.98876,0.00104,89.86,0.00077672,67.11,2022ApJS..259...62I
-114,2458731.6348,0.0010056,86.88,0.00149097,128.82,2022ApJS..259...62I
-113,2458733.27913,0.0011504,99.39,0.00049523,42.79,2022ApJS..259...62I
-112,2458734.92554,0.000878,75.86,0.00157948,136.47,2022ApJS..259...62I
-109,2458739.85989,0.0005339,46.13,-4.776e-05,-4.13,2022ApJS..259...62I
-108,2458741.50587,0.0014895,128.69,0.0006065,52.4,2022ApJS..259...62I
-107,2458743.15102,0.0008674,74.94,0.00043075,37.22,2022ApJS..259...62I
-106,2458744.79677,0.0010399,89.85,0.00085501,73.87,2022ApJS..259...62I
-105,2458746.44155,0.0010241,88.48,0.00030926,26.72,2022ApJS..259...62I
-100,2458754.66901,0.0007671,66.28,0.00114053,98.54,2022ApJS..259...62I
-99,2458756.31353,0.0007446,64.33,0.00033479,28.93,2022ApJS..259...62I
-98,2458757.95738,0.0013459,116.29,-0.00114096,-98.58,2022ApJS..259...62I
-97,2458759.60107,0.0011403,98.52,-0.0027767,-239.91,2022ApJS..259...62I
-93,2458766.1847,0.0007554,65.27,-0.00044969,-38.85,2022ApJS..259...62I
-92,2458767.83097,0.0008163,70.53,0.00049457,42.73,2022ApJS..259...62I
-91,2458769.47684,0.0008957,77.39,0.00103882,89.75,2022ApJS..259...62I
-90,2458771.12088,0.0006317,54.58,-0.00024692,-21.33,2022ApJS..259...62I
-89,2458772.76637,0.0009917,85.68,-8.267e-05,-7.14,2022ApJS..259...62I
-85,2458779.34823,0.000746,64.45,0.00047435,40.98,2022ApJS..259...62I
-84,2458780.99332,0.0006835,59.05,0.0002386,20.62,2022ApJS..259...62I
-83,2458782.63927,0.0005247,45.33,0.00086286,74.55,2022ApJS..259...62I
-82,2458784.28374,0.0006627,57.26,7.11e-06,0.61,2022ApJS..259...62I
-81,2458785.92912,0.0007157,61.84,6.137e-05,5.3,2022ApJS..259...62I
-77,2458792.51016,0.0010575,91.37,-0.00020162,-17.42,2022ApJS..259...62I
-76,2458794.15411,0.0005959,51.49,-0.00157736,-136.28,2022ApJS..259...62I
-75,2458795.7999,0.0007536,65.11,-0.00111311,-96.17,2022ApJS..259...62I
-74,2458797.44671,0.0008172,70.61,0.00037115,32.07,2022ApJS..259...62I
-73,2458799.09085,0.0014221,122.87,-0.0008146,-70.38,2022ApJS..259...62I
-68,2458807.31655,0.0009528,82.32,-0.00174333,-150.62,2022ApJS..259...62I
-67,2458808.96361,0.0008698,75.15,-9.07e-06,-0.78,2022ApJS..259...62I
-66,2458810.607,0.0007182,62.05,-0.00194482,-168.03,2022ApJS..259...62I
-65,2458812.25596,0.000451,38.97,0.00168943,145.97,2022ApJS..259...62I
-62,2458817.1946,0.0014088,121.72,0.0043522,376.03,2022ApJS..259...62I
-61,2458818.83758,0.0009059,78.27,0.00200645,173.36,2022ApJS..259...62I
-60,2458820.47945,0.000576,49.77,-0.00144929,-125.22,2022ApJS..259...62I
-59,2458822.12587,0.0010177,87.93,-0.00035504,-30.68,2022ApJS..259...62I
-58,2458823.77191,0.0006204,53.6,0.00035922,31.04,2022ApJS..259...62I
-57,2458825.41578,0.0003968,34.28,-0.00109653,-94.74,2022ApJS..259...62I
-56,2458827.0631,0.0009806,84.72,0.00089772,77.56,2022ApJS..259...62I
-54,2458830.35504,0.0006713,58.0,0.00218623,188.89,2022ApJS..259...62I
-53,2458831.99861,0.000698,60.31,0.00043049,37.19,2022ApJS..259...62I
-52,2458833.64404,0.0008352,72.16,0.00053474,46.2,2022ApJS..259...62I
-51,2458835.28888,0.0009304,80.39,4.9e-05,4.23,2022ApJS..259...62I
-50,2458836.93452,0.0006313,54.54,0.00036325,31.38,2022ApJS..259...62I
-49,2458838.57786,0.0006834,59.05,-0.0016225,-140.18,2022ApJS..259...62I
-48,2458840.22467,0.0010422,90.05,-0.00013824,-11.94,2022ApJS..259...62I
-46,2458843.51521,0.0006938,59.94,-0.00024973,-21.58,2022ApJS..259...62I
-45,2458845.16145,0.0009395,81.17,0.00066452,57.41,2022ApJS..259...62I
-44,2458846.80638,0.0004622,39.93,0.00026878,23.22,2022ApJS..259...62I
-43,2458848.45166,0.0007552,65.25,0.00022303,19.27,2022ApJS..259...62I
-42,2458850.09642,0.000659,56.94,-0.00034272,-29.61,2022ApJS..259...62I
-40,2458853.38769,0.0008509,73.52,0.00027579,23.83,2022ApJS..259...62I
-38,2458856.67851,0.001051,90.81,0.0004443,38.39,2022ApJS..259...62I
-37,2458858.32175,0.0009705,83.85,-0.00164144,-141.82,2022ApJS..259...62I
-36,2458859.9664,0.0011449,98.92,-0.00231719,-200.21,2022ApJS..259...62I
-35,2458861.61462,0.0007425,64.15,0.00057707,49.86,2022ApJS..259...62I
-34,2458863.25844,0.0007371,63.69,-0.00092868,-80.24,2022ApJS..259...62I
-33,2458864.90424,0.0011302,97.65,-0.00045443,-39.26,2022ApJS..259...62I
-32,2458866.54971,0.000952,82.25,-0.00031017,-26.8,2022ApJS..259...62I
-31,2458868.19496,0.0007574,65.44,-0.00038592,-33.34,2022ApJS..259...62I
-29,2458871.48734,0.0011332,97.91,0.00134259,116.0,2022ApJS..259...62I
-27,2458874.77566,0.0008386,72.46,-0.0009889,-85.44,2022ApJS..259...62I
-26,2458876.42089,0.0008416,72.71,-0.00108464,-93.71,2022ApJS..259...62I
-25,2458878.06724,0.0007953,68.71,-6.039e-05,-5.22,2022ApJS..259...62I
-24,2458879.71173,0.0008125,70.2,-0.00089614,-77.43,2022ApJS..259...62I
-23,2458881.35849,0.00079,68.26,0.00053812,46.49,2022ApJS..259...62I
-22,2458883.00449,0.0010385,89.73,0.00121237,104.75,2022ApJS..259...62I
-19,2458887.93821,0.0006475,55.94,-0.00104486,-90.28,2022ApJS..259...62I
-18,2458889.58461,0.0007715,66.66,2.939e-05,2.54,2022ApJS..259...62I
-17,2458891.23102,0.0005764,49.8,0.00111364,96.22,2022ApJS..259...62I
-16,2458892.8752,0.0007076,61.14,-3.21e-05,-2.77,2022ApJS..259...62I
-15,2458894.52068,0.000803,69.38,0.00012215,10.55,2022ApJS..259...62I
-14,2458896.16617,0.0012132,104.82,0.00028641,24.75,2022ApJS..259...62I
-10,2458902.74737,0.0010471,90.47,0.00018342,15.85,2022ApJS..259...62I
-9,2458904.3929,0.0009071,78.37,0.00038768,33.5,2022ApJS..259...62I
-7,2458907.68311,0.0007223,62.41,-5.381e-05,-4.65,2022ApJS..259...62I
-6,2458909.32735,0.0003938,34.02,-0.00113956,-98.46,2022ApJS..259...62I
-5,2458910.97174,0.0007738,66.86,-0.0020753,-179.31,2022ApJS..259...62I
0,2458919.20091,0.0007765,67.09,0.00046597,40.26,2022ApJS..259...62I
1,2458920.84765,0.0010368,89.58,0.00188022,162.45,2022ApJS..259...62I
2,2458922.49056,0.0010135,87.57,-0.00053552,-46.27,2022ApJS..259...62I
4,2458925.78168,0.0006497,56.13,-6.701e-05,-5.79,2022ApJS..259...62I
8,2458932.36246,0.0008428,72.82,-0.00059,-50.98,2022ApJS..259...62I
11,2458937.29807,0.0009778,84.48,-0.00095723,-82.7,2022ApJS..259...62I
12,2458938.94461,0.0009686,83.69,0.00025702,22.21,2022ApJS..259...62I
13,2458940.58956,0.0011615,100.35,-0.00011872,-10.26,2022ApJS..259...62I
17,2458947.17286,0.0016639,143.76,0.00187829,162.28,2022ApJS..259...62I
18,2458948.81507,0.0011636,100.54,-0.00123745,-106.92,2022ApJS..259...62I
19,2458950.46235,0.0009174,79.26,0.0007168,61.93,2022ApJS..259...62I
20,2458952.10803,0.0009237,79.81,0.00107106,92.54,2022ApJS..259...62I
21,2458953.75181,0.0011252,97.22,-0.00047469,-41.01,2022ApJS..259...62I
23,2458957.0426,0.0007594,65.61,-0.00033618,-29.05,2022ApJS..259...62I
24,2458958.68892,0.0007426,64.16,0.00065807,56.86,2022ApJS..259...62I
25,2458960.33444,0.0007257,62.7,0.00085233,73.64,2022ApJS..259...62I
26,2458961.98043,0.0006991,60.4,0.00151658,131.03,2022ApJS..259...62I
27,2458963.62433,0.0007411,64.03,9.084e-05,7.85,2022ApJS..259...62I
28,2458965.26877,0.0007739,66.86,-0.00079491,-68.68,2022ApJS..259...62I
29,2458966.91368,0.0008923,77.09,-0.00121065,-104.6,2022ApJS..259...62I
31,2458970.20551,0.0007936,68.57,-3.215e-05,-2.78,2022ApJS..259...62I
32,2458971.85159,0.0008782,75.88,0.00072211,62.39,2022ApJS..259...62I
33,2458973.49427,0.0007839,67.73,-0.00192364,-166.2,2022ApJS..259...62I
34,2458975.14271,0.0007902,68.27,0.00119062,102.87,2022ApJS..259...62I
35,2458976.78672,0.0007427,64.17,-0.00012513,-10.81,2022ApJS..259...62I
36,2458978.43186,0.0007706,66.58,-0.00031087,-26.86,2022ApJS..259...62I
37,2458980.07726,0.0009044,78.14,-0.00023662,-20.44,2022ApJS..259...62I
38,2458981.72372,0.0008815,76.16,0.00089763,77.56,2022ApJS..259...62I
40,2458985.01165,0.0007899,68.25,-0.00182386,-157.58,2022ApJS..259...62I
41,2458986.66009,0.000669,57.8,0.0012904,111.49,2022ApJS..259...62I
42,2458988.30529,0.0006884,59.48,0.00116465,100.63,2022ApJS..259...62I
43,2458989.94933,0.0006709,57.97,-0.00012109,-10.46,2022ApJS..259...62I
44,2458991.59402,0.0009091,78.55,-0.00075684,-65.39,2022ApJS..259...62I
45,2458993.2398,0.0008144,70.36,-0.00030259,-26.14,2022ApJS..259...62I
46,2458994.88556,0.0007681,66.36,0.00013167,11.38,2022ApJS..259...62I
48,2458998.17525,0.0008798,76.01,-0.00082982,-71.7,2022ApJS..259...62I
49,2458999.8231,0.0006743,58.26,0.00169443,146.4,2022ApJS..259...62I
50,2459001.46644,0.0006145,53.09,-0.00029131,-25.17,2022ApJS..259...62I
51,2459003.11052,0.0008483,73.29,-0.00153706,-132.8,2022ApJS..259...62I
52,2459004.75693,0.0008559,73.95,-0.0004528,-39.12,2022ApJS..259...62I
53,2459006.40215,0.0007772,67.15,-0.00055855,-48.26,2022ApJS..259...62I
54,2459008.04759,0.0008028,69.36,-0.0004443,-38.39,2022ApJS..259...62I
56,2459011.33986,0.0008285,71.58,0.00117421,101.45,2022ApJS..259...62I
57,2459012.9844,0.0007295,63.03,0.00038847,33.56,2022ApJS..259...62I
58,2459014.62812,0.0008653,74.76,-0.00121728,-105.17,2022ApJS..259...62I
59,2459016.27494,0.0008005,69.16,0.00027698,23.93,2022ApJS..259...62I
60,2459017.91937,0.0008169,70.58,-0.00061877,-53.46,2022ApJS..259...62I
61,2459019.56476,0.0008294,71.66,-0.00055452,-47.91,2022ApJS..259...62I
62,2459021.21101,0.0008296,71.68,0.00036974,31.95,2022ApJS..259...62I
64,2459024.50142,0.0007498,64.78,0.00012825,11.08,2022ApJS..259...62I
65,2459026.14628,0.0008171,70.6,-0.0003375,-29.16,2022ApJS..259...62I
66,2459027.791,0.0008714,75.29,-0.00094324,-81.5,2022ApJS..259...62I
67,2459029.43699,0.0007774,67.17,-0.00027899,-24.1,2022ApJS..259...62I
68,2459031.08257,0.0007767,67.11,-2.473e-05,-2.14,2022ApJS..259...62I
69,2459032.72852,0.0008093,69.92,0.00059952,51.8,2022ApJS..259...62I
70,2459034.37226,0.0008734,75.46,-0.00098623,-85.21,2022ApJS..259...62I
287,2459391.40949,0.0009096,78.59,0.00055697,48.12,2022ApJS..259...62I
288,2459393.05562,0.0008114,70.1,0.00136123,117.61,2022ApJS..259...62I
289,2459394.70044,0.0008304,71.75,0.00085548,73.91,2022ApJS..259...62I
290,2459396.34592,0.0008978,77.57,0.00100973,87.24,2022ApJS..259...62I
291,2459397.98977,0.0008329,71.96,-0.00046601,-40.26,2022ApJS..259...62I
292,2459399.63561,0.0008466,73.15,4.824e-05,4.17,2022ApJS..259...62I
293,2459401.28188,0.0007486,64.68,0.0009925,85.75,2022ApJS..259...62I
294,2459402.92693,0.0007371,63.69,0.00071675,61.93,2022ApJS..259...62I
296,2459406.21729,0.0008663,74.85,0.00042526,36.74,2022ApJS..259...62I
297,2459407.86218,0.0007681,66.36,-1.049e-05,-0.91,2022ApJS..259...62I
298,2459409.50705,0.0007037,60.8,-0.00046623,-40.28,2022ApJS..259...62I
299,2459411.15172,0.0009344,80.73,-0.00112198,-96.94,2022ApJS..259...62I
300,2459412.79667,0.0007999,69.11,-0.00149772,-129.4,2022ApJS..259...62I
301,2459414.44408,0.0009286,80.23,0.00058653,50.68,2022ApJS..259...62I
302,2459416.08992,0.0007949,68.68,0.00110079,95.11,2022ApJS..259...62I
303,2459417.73489,0.0007306,63.12,0.00074504,64.37,2022ApJS..259...62I
305,2459421.02538,0.0007719,66.69,0.00058355,50.42,2022ApJS..259...62I
306,2459422.67022,0.0009489,81.98,9.78e-05,8.45,2022ApJS..259...62I
307,2459424.31609,0.0007298,63.05,0.00064206,55.47,2022ApJS..259...62I
308,2459425.96064,0.0007499,64.79,-0.00013369,-11.55,2022ApJS..259...62I
309,2459427.60716,0.0007512,64.9,0.00106057,91.63,2022ApJS..259...62I
310,2459429.2519,0.0008592,74.23,0.00047482,41.02,2022ApJS..259...62I
311,2459430.89763,0.0008044,69.5,0.00087908,75.95,2022ApJS..259...62I
313,2459434.18782,0.0008876,76.69,0.00041758,36.08,2022ApJS..259...62I
314,2459435.83371,0.0007695,66.48,0.00098184,84.83,2022ApJS..259...62I
315,2459437.4778,0.0008043,69.49,-0.00025391,-21.94,2022ApJS..259...62I
316,2459439.12311,0.0008355,72.19,-0.00026965,-23.3,2022ApJS..259...62I
317,2459440.76901,0.0008388,72.47,0.0003046,26.32,2022ApJS..259...62I
318,2459442.41441,0.0007958,68.76,0.00037886,32.73,2022ApJS..259...62I
319,2459444.0598,0.0008249,71.27,0.00044311,38.28,2022ApJS..259...62I
320,2459445.70361,0.0006974,60.26,-0.00107264,-92.68,2022ApJS..259...62I
469,2459690.8594,0.0018,155.52,0.00118126,102.06,Ind_mid
486,2459718.8263,0.0018,155.52,-0.00245641,-212.23,Ind_mid
489,2459723.76109,0.00085,73.44,-0.00364365,-314.81,Ind_mid
503,2459746.8024,0.0012,103.68,0.00310591,268.35,Ind_mid
518,2459771.481410739,0.00052,44.93,0.00223047,192.71,TRESCA-Yves_Jongen
535,2459799.4428607305,0.00097,83.81,-0.00685722,-592.46,TRESCA-David_Molina
619,2459937.6585,0.0022,190.08,0.00141942,122.64,Ind_mid
620,2459939.303,0.0016,138.24,0.00059367,51.29,Ind_mid
621,2459940.94834,0.0018,155.52,0.00060793,52.52,Ind_mid
622,2459942.5943,0.0012,103.68,0.00124218,107.32,Ind_mid
623,2459944.24029,0.00114,98.5,0.00190644,164.72,Ind_mid
624,2459945.88346,0.00098,84.67,-0.00024931,-21.54,Ind_mid
625,2459947.52961,0.00101,87.26,0.00057495,49.68,Ind_mid
626,2459949.1748,0.0012,103.68,0.0004392,37.95,Ind_mid
630,2459955.75611,0.00113,97.63,0.00044622,38.55,Ind_mid
631,2459957.3955107434,0.00066,57.02,-0.00547879,-473.37,TRESCA-Snaevarr_Gudmundsson
631,2459957.40158,0.00126,108.86,0.00059047,51.02,Ind_mid
632,2459959.04686,0.00093,80.35,0.00054473,47.06,Ind_mid
633,2459960.6923,0.00177,152.93,0.00065898,56.94,Ind_mid
634,2459962.33757,0.00098,84.67,0.00060323,52.12,Ind_mid
703,2460075.86474,0.00098,84.67,0.00029679,25.64,Ind_mid
923,2460437.8366,0.0013,112.32,0.00049275,42.57,Ind_mid
953, 2460493.7856, 0.0011